                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7181,                 4.1864,                 4.0563,                0.00027,                0.06618,                0.00026,                  5e-05,                 4.6145,                  4.501,                 3.6646,               0.070385,              0.0032906,              0.0032906
                      1,                 3.3962,                 3.9428,                  3.766,                0.00027,                0.06618,                0.00026,                  5e-05,                 5.4219,                 5.4683,                 17.698,               0.040319,              0.0065584,              0.0065584
                      2,                 3.1106,                 3.3362,                 3.4114,                0.01648,                0.08824,                0.00455,                 0.0009,                 3.1953,                 6.0389,                 4.3899,               0.010187,              0.0097601,              0.0097601
                      3,                 2.8839,                 2.9868,                 3.1513,                0.03473,                0.17647,                0.01762,                0.00424,                 3.0607,                 5.9903,                 3.7427,               0.009703,               0.009703,               0.009703
                      4,                 2.5904,                 2.7295,                 2.8554,                0.06567,                0.16912,                0.05044,                0.01237,                 2.9059,                 16.002,                 2.8447,               0.009703,               0.009703,               0.009703
                      5,                 2.4701,                 2.5669,                  2.722,                0.06441,                0.11029,                0.02776,                0.00812,                 2.8533,                 5.9391,                 2.4871,               0.009604,               0.009604,               0.009604
                      6,                 2.3375,                 2.3611,                   2.59,                0.11402,                0.13971,                0.07195,                0.01625,                 2.5778,                 3.8512,                 2.2668,               0.009505,               0.009505,               0.009505
                      7,                 2.2256,                 2.2289,                 2.4945,                0.55095,                  0.375,                0.39708,                0.14873,                 2.3013,                 2.8545,                 2.2289,               0.009406,               0.009406,               0.009406
                      8,                 2.1284,                 2.1079,                  2.383,                0.61797,                0.41912,                0.43068,                0.17829,                  2.311,                  2.371,                 2.2298,               0.009307,               0.009307,               0.009307
                      9,                 2.0062,                 1.9989,                 2.2907,                0.54622,                0.40441,                0.42755,                0.19362,                 2.1532,                 2.2799,                 2.0507,               0.009208,               0.009208,               0.009208
                     10,                 1.9715,                 1.9361,                 2.2276,                0.52887,                0.42647,                0.45796,                0.20812,                 2.0865,                 2.1821,                 1.9971,               0.009109,               0.009109,               0.009109
