                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7362,                 4.1513,                 4.0339,                0.00029,                0.07353,                 0.0002,                  5e-05,                 4.5723,                 4.2469,                 3.6242,               0.083547,               0.016453,               0.016453
                      1,                 2.9921,                 3.3744,                 3.2897,                 0.0419,                0.44118,                0.03182,                0.00753,                 3.1515,                 694.06,                 28.918,               0.066552,               0.032792,               0.032792
                      2,                 2.6526,                 3.1887,                 2.9231,                0.00118,                0.03676,                 0.0009,                0.00029,                    3.4,                  8.916,                 3.2464,               0.049228,               0.048801,               0.048801
                      3,                 2.5751,                 2.9709,                 2.8168,                0.00564,                0.36765,                0.00446,                 0.0011,                 3.2859,                 4.4777,                  3.487,               0.048515,               0.048515,               0.048515
                      4,                 2.4372,                 2.7415,                 2.6754,                0.00556,                0.01471,                 0.0005,                0.00022,                 4.0036,                  9.768,                 3.2709,               0.048515,               0.048515,               0.048515
                      5,                 2.3313,                 2.4904,                 2.5722,                0.13086,                0.33824,                0.10475,                0.03022,                 2.3631,                 4.4362,                 2.3408,                0.04802,                0.04802,                0.04802
                      6,                 2.1718,                 2.2534,                 2.4401,                0.11929,                0.23529,                 0.0807,                0.02652,                 2.6557,                 3.2767,                 2.4016,               0.047525,               0.047525,               0.047525
                      7,                 2.0674,                 2.1591,                 2.3355,                0.32858,                0.41176,                0.28042,                0.12115,                 2.1309,                 2.2615,                 1.9499,                0.04703,                0.04703,                0.04703
                      8,                 2.0166,                 2.0709,                 2.2738,                0.41608,                0.40441,                0.30701,                0.13886,                 2.1135,                 2.5248,                 2.0537,               0.046535,               0.046535,               0.046535
                      9,                 1.9708,                 1.9834,                 2.1993,                0.37574,                0.39706,                0.30089,                0.12176,                  2.216,                 2.2334,                 2.0698,                0.04604,                0.04604,                0.04604
                     10,                 1.9033,                 1.9215,                 2.1286,                0.53085,                0.39706,                 0.3943,                0.14528,                 2.1267,                 2.1808,                 2.0596,               0.045545,               0.045545,               0.045545
                     11,                 1.8783,                 1.8603,                 2.1081,                0.60689,                0.30882,                0.29708,                0.12915,                 1.9882,                 2.3039,                 1.8945,                0.04505,                0.04505,                0.04505
                     12,                 1.7753,                 1.7654,                 2.0212,                0.50007,                0.46324,                0.42379,                 0.1749,                 1.9982,                 2.0901,                 1.8652,               0.044555,               0.044555,               0.044555
                     13,                 1.7649,                 1.7158,                 1.9913,                0.60777,                0.45588,                 0.4364,                0.18492,                 2.0482,                 2.1302,                 1.8297,                0.04406,                0.04406,                0.04406
                     14,                 1.7247,                 1.6552,                 1.9454,                0.54325,                0.44853,                0.44029,                0.21485,                 1.8721,                 2.0652,                   1.77,               0.043565,               0.043565,               0.043565
                     15,                 1.6936,                 1.5837,                 1.9391,                0.56375,                0.52206,                0.55008,                0.24208,                 1.8095,                 1.7527,                 1.7146,                0.04307,                0.04307,                0.04307
                     16,                 1.6485,                 1.5379,                 1.8705,                0.60094,                0.49265,                0.47694,                0.23403,                 1.9235,                 1.8795,                 1.7141,               0.042575,               0.042575,               0.042575
                     17,                  1.617,                   1.52,                 1.8397,                0.59513,                0.49265,                0.51284,                0.25111,                 1.8662,                 1.8383,                 1.7548,                0.04208,                0.04208,                0.04208
                     18,                 1.6335,                 1.4783,                 1.8484,                0.50477,                0.48529,                0.45226,                0.20545,                 1.8308,                 1.9103,                 1.7713,               0.041585,               0.041585,               0.041585
                     19,                 1.5891,                 1.4858,                 1.8106,                0.86711,                0.60294,                0.67971,                0.33089,                 1.7454,                 1.5437,                 1.6514,                0.04109,                0.04109,                0.04109
