                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3865,                  4.261,                 3.2812,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.083547,               0.016453,               0.016453
                      1,                  3.203,                 3.7965,                 3.0207,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.066552,               0.032792,               0.032792
                      2,                 2.8895,                 3.7443,                 2.8455,                0.00015,                0.00735,                 0.0001,                  5e-05,                 4.5824,                 6.1261,                 4.7483,               0.049228,               0.048801,               0.048801
                      3,                 2.8465,                 3.6423,                 2.7934,                 0.0017,                0.13971,                0.00217,                0.00059,                 3.8748,                 4.2324,                 3.1018,               0.048515,               0.048515,               0.048515
                      4,                 2.7667,                 3.5537,                 2.7431,                 0.0005,                0.08824,                0.00033,                  9e-05,                 3.2362,                 5.0918,                 2.7998,               0.048515,               0.048515,               0.048515
                      5,                 2.7957,                 3.2953,                 2.7159,                0.00297,                0.52941,                0.00339,                0.00071,                 3.3858,                 4.2225,                 2.9901,                0.04802,                0.04802,                0.04802
                      6,                 2.7106,                 3.0486,                 2.6089,                0.00483,                0.24265,                0.00624,                0.00103,                 3.5413,                 3.9574,                 3.1579,               0.047525,               0.047525,               0.047525
                      7,                 2.6472,                 2.8698,                 2.5521,                0.09896,                0.13971,                0.04262,                0.00753,                 3.4583,                 3.1964,                 3.0165,                0.04703,                0.04703,                0.04703
                      8,                  2.533,                 2.7166,                 2.4891,                0.00356,                0.02941,                 0.0021,                0.00042,                 3.4384,                 4.6575,                 3.0564,               0.046535,               0.046535,               0.046535
                      9,                 2.4891,                 2.6227,                 2.4038,                0.00356,                0.02941,                 0.0021,                0.00042,                 3.6122,                  4.944,                 3.3305,                0.04604,                0.04604,                0.04604
                     10,                 2.4146,                 2.5213,                 2.3745,                0.00356,                0.02941,                 0.0021,                0.00042,                 3.5631,                 5.0858,                 3.3061,               0.045545,               0.045545,               0.045545
                     11,                 2.4114,                 2.4956,                 2.3188,                0.00356,                0.02941,                 0.0021,                0.00042,                 3.5345,                 4.4532,                 3.3461,                0.04505,                0.04505,                0.04505
                     12,                 2.3565,                 2.4687,                 2.2716,                0.00356,                0.02941,                 0.0021,                0.00042,                 3.3976,                 4.9534,                 3.0559,               0.044555,               0.044555,               0.044555
                     13,                 2.2932,                 2.4189,                 2.2495,                0.00356,                0.02941,                 0.0021,                0.00042,                 3.6905,                 5.0193,                  3.446,                0.04406,                0.04406,                0.04406
                     14,                 2.2087,                 2.3043,                 2.1793,                0.00194,                0.20588,                0.00153,                0.00024,                 3.6496,                 4.0063,                 3.3577,               0.043565,               0.043565,               0.043565
                     15,                 2.2199,                 2.2981,                 2.1859,                0.00194,                0.20588,                0.00153,                0.00024,                 3.7338,                 5.0158,                 3.5107,                0.04307,                0.04307,                0.04307
                     16,                 2.1944,                    2.2,                 2.1164,                0.00194,                0.20588,                0.00153,                0.00024,                 3.5008,                 5.2413,                 3.2132,               0.042575,               0.042575,               0.042575
                     17,                 2.1252,                 2.1606,                 2.0871,                0.00194,                0.20588,                0.00153,                0.00024,                 3.4671,                 5.2482,                 3.0228,                0.04208,                0.04208,                0.04208
                     18,                 2.1024,                 2.1474,                 2.0589,                0.00194,                0.20588,                0.00153,                0.00024,                 3.5695,                 5.1001,                 3.1315,               0.041585,               0.041585,               0.041585
                     19,                 2.0874,                 2.1664,                 2.0599,                0.00194,                0.20588,                0.00153,                0.00024,                 3.5522,                 5.1606,                 3.0523,                0.04109,                0.04109,                0.04109
                     20,                 2.0341,                 2.0527,                 1.9688,                0.00194,                0.20588,                0.00153,                0.00024,                 3.5389,                 5.2297,                 3.1356,               0.040595,               0.040595,               0.040595
                     21,                 2.0607,                 2.0849,                  2.006,                0.00194,                0.20588,                0.00153,                0.00024,                 3.5028,                 5.0986,                 3.0333,                 0.0401,                 0.0401,                 0.0401
                     22,                  2.042,                 1.9986,                 1.9779,                0.00194,                0.20588,                0.00153,                0.00024,                 3.4079,                 5.3511,                 3.0463,               0.039605,               0.039605,               0.039605
                     23,                 1.9737,                 1.9894,                 1.9317,                0.00194,                0.20588,                0.00153,                0.00024,                 3.3578,                 5.1697,                 3.0149,                0.03911,                0.03911,                0.03911
                     24,                   1.99,                  1.937,                 1.9465,                0.00194,                0.20588,                0.00153,                0.00024,                  3.441,                 5.4119,                 3.0215,               0.038615,               0.038615,               0.038615
                     25,                 1.8996,                 1.8336,                 1.8754,                0.00194,                0.20588,                0.00153,                0.00024,                  3.469,                 5.5537,                 3.0729,                0.03812,                0.03812,                0.03812
                     26,                 1.9222,                 1.8659,                 1.8651,                0.00194,                0.20588,                0.00153,                0.00024,                 3.7099,                 5.1843,                 3.2264,               0.037625,               0.037625,               0.037625
                     27,                 1.9373,                 1.9045,                 1.8901,                0.00194,                0.20588,                0.00153,                0.00024,                 3.7409,                 5.3867,                 3.4544,                0.03713,                0.03713,                0.03713
                     28,                  1.875,                 1.8565,                 1.8619,                0.00194,                0.20588,                0.00153,                0.00024,                 3.8884,                  5.521,                 3.4132,               0.036635,               0.036635,               0.036635
                     29,                 1.8514,                 1.7407,                 1.8318,                0.00194,                0.20588,                0.00153,                0.00024,                  3.832,                   5.62,                 3.3675,                0.03614,                0.03614,                0.03614
                     30,                 1.8254,                 1.7826,                 1.8276,                0.00194,                0.20588,                0.00153,                0.00024,                 3.7961,                 5.7933,                 3.3999,               0.035645,               0.035645,               0.035645
                     31,                 1.8625,                 1.7977,                 1.8564,                0.00194,                0.20588,                0.00153,                0.00024,                 3.8317,                 5.6209,                 3.4832,                0.03515,                0.03515,                0.03515
                     32,                 1.7902,                 1.7246,                 1.7782,                0.00194,                0.20588,                0.00153,                0.00024,                  3.826,                  5.529,                 3.4329,               0.034655,               0.034655,               0.034655
                     33,                 1.8065,                 1.7476,                 1.7997,                0.00194,                0.20588,                0.00153,                0.00024,                  3.895,                 5.9425,                 3.4735,                0.03416,                0.03416,                0.03416
                     34,                  1.745,                 1.7148,                 1.7521,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9109,                 5.5875,                 3.4862,               0.033665,               0.033665,               0.033665
                     35,                 1.7623,                 1.6513,                 1.7512,                0.00194,                0.20588,                0.00153,                0.00024,                 3.8593,                 5.6239,                 3.6212,                0.03317,                0.03317,                0.03317
                     36,                 1.7563,                 1.6682,                 1.7236,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0133,                 5.6533,                 3.5301,               0.032675,               0.032675,               0.032675
                     37,                 1.7119,                 1.6092,                 1.7181,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9939,                 5.8911,                 3.5177,                0.03218,                0.03218,                0.03218
                     38,                 1.6998,                 1.5808,                  1.697,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0587,                 5.9502,                 3.5982,               0.031685,               0.031685,               0.031685
                     39,                 1.6517,                 1.4879,                 1.6552,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0784,                 6.1123,                 3.5265,                0.03119,                0.03119,                0.03119
                     40,                 1.6688,                 1.4989,                 1.6484,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0529,                 5.9725,                 3.7176,               0.030695,               0.030695,               0.030695
                     41,                 1.6575,                 1.5142,                 1.6755,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9872,                 6.3616,                 3.5486,                 0.0302,                 0.0302,                 0.0302
                     42,                 1.6457,                 1.4853,                 1.6423,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9223,                 6.2652,                 3.5105,               0.029705,               0.029705,               0.029705
                     43,                 1.6111,                 1.4503,                 1.6428,                0.00194,                0.20588,                0.00153,                0.00024,                 4.1335,                 6.0795,                 3.6393,                0.02921,                0.02921,                0.02921
                     44,                 1.5948,                 1.4083,                 1.6208,                0.00194,                0.20588,                0.00153,                0.00024,                 4.1165,                 6.2287,                 3.6299,               0.028715,               0.028715,               0.028715
                     45,                 1.6086,                 1.4459,                 1.6322,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0612,                 6.2161,                 3.6214,                0.02822,                0.02822,                0.02822
                     46,                 1.5755,                  1.396,                 1.5959,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9261,                 6.2986,                 3.5873,               0.027725,               0.027725,               0.027725
                     47,                 1.6144,                 1.3899,                 1.5995,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9947,                 6.2251,                 3.5478,                0.02723,                0.02723,                0.02723
                     48,                 1.5775,                 1.3506,                 1.5744,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0285,                  6.352,                 3.5979,               0.026735,               0.026735,               0.026735
                     49,                 1.5437,                 1.3584,                 1.5643,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0042,                 6.2007,                 3.6024,                0.02624,                0.02624,                0.02624
                     50,                 1.5077,                 1.3068,                 1.5382,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0619,                 6.4192,                 3.6371,               0.025745,               0.025745,               0.025745
                     51,                 1.5034,                 1.2919,                  1.534,                0.00194,                0.20588,                0.00153,                0.00024,                  4.077,                 6.6115,                 3.5391,                0.02525,                0.02525,                0.02525
                     52,                 1.5237,                 1.2998,                 1.5506,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9249,                 6.2699,                 3.4447,               0.024755,               0.024755,               0.024755
                     53,                 1.4931,                  1.271,                 1.5296,                0.00194,                0.20588,                0.00153,                0.00024,                 3.9798,                 6.4489,                 3.5827,                0.02426,                0.02426,                0.02426
                     54,                 1.4855,                 1.2462,                 1.5018,                0.00194,                0.20588,                0.00153,                0.00024,                   4.04,                 6.5463,                 3.6087,               0.023765,               0.023765,               0.023765
                     55,                 1.4986,                 1.2504,                 1.5202,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0201,                 6.5072,                 3.6176,                0.02327,                0.02327,                0.02327
                     56,                 1.4866,                 1.2355,                 1.5101,                0.00194,                0.20588,                0.00153,                0.00024,                  4.023,                 6.3296,                 3.6223,               0.022775,               0.022775,               0.022775
                     57,                 1.4659,                 1.2346,                 1.5243,                0.00194,                0.20588,                0.00153,                0.00024,                 4.0158,                  6.433,                 3.5592,                0.02228,                0.02228,                0.02228
